"Name","Alerts","WWN","Node Affinity","Logical Used","Provisioned","Host Mappings","Storage Protocol","Protection Policy","Performance Policy","Volume Group"
"PST1_MES_FRA-004","","naa.68ccf098001f28e0fe23109da8cd129a","System select Node B","400.0 GB","600.0 GB","1","SCSI","","Medium","Pst1MesRacVolGroup"
"PST1_MES_FRA-002","","naa.68ccf09800a3604144e3b7baff75df20","System select Node A","400.0 GB","600.0 GB","1","SCSI","","Medium","Pst1MesRacVolGroup"
"PST1_MES_FRA-005","","naa.68ccf09800eb2393ec80383393952d95","System select Node A","400.0 GB","600.0 GB","1","SCSI","","Medium","Pst1MesRacVolGroup"
"PST1_MES_FRA-001","","naa.68ccf0980065399b096498b34374cdba","System select Node B","400.0 GB","600.0 GB","1","SCSI","","Medium","Pst1MesRacVolGroup"
"PST1_Vol_Silver4210-002","","naa.68ccf09800b6f9123b35a713fa450a2b","System select Node A","365.7 GB","10.0 TB","1","SCSI","","Medium","Pst1VolSilver4210Group"
"QMSRAC_DATA001","","naa.68ccf09800322a0bdc6f5f131ae3ccb6","System select Node B","360.6 GB","500.0 GB","1","SCSI","","Medium",""
"QMSRAC_DATA002","","naa.68ccf098005cc715bbe9e9c5fea0818e","System select Node A","360.6 GB","500.0 GB","1","SCSI","","Medium",""
"RAC_DATA21","","naa.68ccf09800ffb2cbd15cef05127d5051","System select at attach","355.8 GB","500.0 GB","0","None","","Medium",""
"RAC_DATA22","","naa.68ccf098005783b4799329dce336e061","System select at attach","355.7 GB","500.0 GB","0","None","","Medium",""
"RAC_DATA23","","naa.68ccf09800ba13316aa3af3c17fa0e5e","System select at attach","355.7 GB","500.0 GB","0","None","","Medium",""
"RAC_DATA24","","naa.68ccf0980013f0d775fcd6b940bebee7","System select at attach","355.6 GB","500.0 GB","0","None","","Medium",""
"RAC_DATA28","","naa.68ccf098001926957237997a794da526","System select at attach","355.6 GB","500.0 GB","0","None","","Medium",""
"RAC_DATA27","","naa.68ccf09800d273b45b01a1e16b58e6c0","System select at attach","355.6 GB","500.0 GB","0","None","","Medium",""
"RAC_DATA26","","naa.68ccf09800a8c82d6db6b50599158bcf","System select at attach","355.6 GB","500.0 GB","0","None","","Medium",""
